NUMERO,,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,Anuario 2010,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
,,King of Asgard,Corrosion of Conformity,Prong,Holy Moses,Crematory,Boston,Red Fang,Condor,Avenged Sevenfold,Hibria,Dead Warrior,Evile,Dead Lord,Kvelertak,Delphoz,Blackout,Neal Morse,Converge,Haarp,Doro,Great white,,,Municipal Waste,Primal Rok Rebellion 8,,,,,,,,,,,,,Horcas: La amldicion continua8,,,,,,,,,"Dropkick Murphys: Live on landsowne, Boston8",,,,,,Every time i die,Death Angel,Hardcore superstar,Paradise Lost,Firebird,Queensryche,Criminal,Kreator,Intronaut,Destruction,The Hellacopters,In Flames,Queens of the sotne age,The Wildhearts,Manowar,Hatebreed,Zao,Beyond Fear,Theatre of Tragedy,,,,Rotten Sound,Pain,Motorhead,,The Gathering,Machine Head,Poisonblack,System of a Down,,Hanoi Rocks,
,,KXM,Hellvox,Casualtis of cool,Impaled Nazarene,Earth Crisis,Blackfinger,Horisont,Jesu,Turisas,Philip Anselmo,Dio,Integrity,In Graved,Iced Earth,Dream Master,Circel ii Circle Crashdiet,The evil Dead,Pig Destroyer,Hartman,JK Flesh,Furyon,,,Borknagar,Darkthrone 6,,,,,,,,,,,,,Electric Wizard: Black Masses8,,,,,,,,,Theatre of Tragedy: Addenda5,,,,,,Europe,Hot Leg ,Cage,Dark Tranquility,NOFX,Lacrimosa,Doro Pesch,Pig Destroyer,Mudayne,Dragonforce,Inhsahn,Children of Bodom,Hermano,NIN,Saxon,Goatwhore,Terrorizer,Shadows Fall,Antiestéticos,,,,NIN,Jesus Martyr,Killswitch Engage,,Passenger,Stratovarius,Avernal,Pearl Jam,,Backyard babbies,
,,Madball,Hellyeah,Killer be Killed,Insomniom,Demon Hunter,Avatarium,Place Vendome,Malditos,TYR,Fughu,De la cruz,Kylesa,Queensryche,Stone Sour,Finntroll Gardenia,Dropcick Murphys,The Sword,Satan Dealers,Krallice,Korpiklaani,Trixter,,,God Forbid,Death 8,,,,,,,,,,,,,Ill Niño: Dead New World5,,,,,,,,,Katatonia: The longest year8,,,,,,Five Finger death punch,Jesu,Destroyer 666,Graveworm,Obscura,Lacuna Coil,Hatesphere,Ross the Boss,Niños Enfermos,Helker,Dar Sangre,Testament,Arch Enemy,WASP,The End,Embodyment,Napalm Death,Sick of it all,Moonspell,,,,A perfect circle,Anaal Nathrakh,God Forbid,,Vintersorg,Misery Index,Black Label Society,Spiritual Beggars,,The mushroom river band,
,,Quiet Riot,Incantation,Cradle of Filth,Mustach,Eidyllion,Carajo,Rhapsody of Fire,Manthras,Devil Driver,Karnivool,Jorn,Judas Priest,Rotting Christ,Soilwork,Lordi,Riverside,Richie Sambora,Sybreed,Marillion,Mondo Generator,Rammstein,,,Flying Colors,Earth 6,,,,,,,,,,,,,Impaled Nazarene: Road to the octagon6,,,,,,,,,Imagika: Portait of a handed man6,,,,,,The gates at slumber,Man must die,Dinosaur Jr,Iggy Pop,Place Vendome,Nightwish,Kylesa,Saxon,Nueva Etica,Iced earth,Warbreed,Death Angel,Prong,Serpentor,Tristania,Sick porky,Deicide,Therapy?,Ozzy Osbourne,,,,Fantomas,Turisas,Carnal Forge,,Mortem,The Wildhearts,Katatonia,Disturbed,,Halford,
,,Night Ranger,Anathema,H.E.A.T.,Portrait,Hatriot,Cynic,Melvins,Criptofonia,Mojón,La Paz,High on fire,Matan S.A.The ,Cathedral,Gamma Ray,Clucth,Hatebreed,Paul Gilbert,Ten,Rowek,Nueva etica,Luca Turilli´s Rhapsody,,,Exumer,Goatwhore 8,,,,,,,,,,,,,Oceano: Contagion3,,,,,,,,,Jon Oliva´s Pain: Festival 8,,,,,,Evile,Tenet,Coalesce,Korpiklaani,Primal Fear,GirlschoolImpending doom,Megasus,Septicflesh,O´Connor,Magnos,Belphegor,Bullet for my Valentine,Turbonegro,Mayhem,Alabama Thunderpussy,Diecast,Blind Guardian,Dragonauta,Mudhoney,,,,Hanoi Rocks,Orquesta del desierto,Horcas,,Blood Parade,Jezabel,Voivod,Vampiria,,The Damned,
,,Monuments,Ian Anderson,Holy Mountain,Nashville Pussy,Hirax,Iced Earth,Kill Devil Hill,Enforcer,Dueño Mortal,Violator,Falling reverse,Masterplan,Airbourne,Suffocation,Bullet fo my Valentine,Holy Grail,Incantation,The 69 eyes,Enslaved,In this moment,Malicia,,,Horisont,Kamikaze 6,,,,,,,,,,,,,Manowar: Battle Hymns MMXI6,,,,,,,,,Poisonblack: Of rust and bones8,,,,,,The Black Dahlia Murder,IQ,Goatwhore,Duff Mckagan´s loaded,Funeral Mist,Isis,My Dying Bride,Stuck Mojo,Pain,Soulfly,Opeth,Sebastian Bach,Foo Fighters,Marduk,Almah,Kayser,Lair of the Minotaur,Eagles of Death Metal,Cannibal Corpse,,,,Porcupine Tree,Hed (PE),Aura Noir,,Hualfin,Dragonauta,Sinner,Prong,,Red Hot Chili Peppers,
,,Off!,High Spirits,Killing Season,Pilgrim,Indians,Mayan,Inquisition,Ayreon, Serpentor,Psadena Napalm Division,Huntress,U.D.O.,Rechazo,Mastifal,Hardcore superstar,Ian,Tiamat,Therion,Lacrimosa,Fozzy,No Guerra,,,Iron Maiden,Rage 8,,,,,,,,,,,,,Raunchy: A discord electric8,,,,,,,,,Scorpions: Sting in the tail8,,,,,,Living Colour,Los Natas,Graves of valor,Jorn,Nashville Pussy,Iam Gillan,Psyopus,Supersuckers,Cradle of Filth,Scars on Broadway,Revolution Renaissance,Korpiklaani,Kotipelto,Despised Icon,Masterplan,Virgin Steele,Henceforth,Testament,Evergrey,,,,Backyard Babbies,Impaled,Napalm Death,,Nightstalker,Cadena Perpetua,Slam Up,Biozahard,,Pain,
,,John Garcias,California Breed,Menace,Triptycon,Iron Savior,Imperial State Electric,Sepultura,Ihsahn,Tarja,Power trip,Lacrimas Profundere,Queen of Stone Age,Iggy and teh Stoogies,Nails,Mi ultima solución,Malon DVD,Trouble horse,Lynkyrd Skynyrd,Montreal,OM,Periphery,,,Job for a Cowboy,Soulfly 7,,,,,,,,,,,,,Requiem Aeternam:Destiny-man5,,,,,,,,,Lair of the Minotaur: Evil Power7,,,,,,Lynkyrd Skynyrd,Municial Waste,Jason,Manica street preachers,New York Dolls,Pestilence,Samael,Tankard,Yngwie Malmsteem,Plan 4,Scar Symetry,Dream Master,Turisas,Entombed,Jesu,Amon Amarth,Posionblack,Killing Joke,Katatonia,,,,Nile,Rwake,Green Day,,Aleacion,Skid Row,Prion,Solace ,,Bellvue,
,,Mostly Autumn,Inquisición,Devil you know,Sebastin Bach,Kayser,Kampfar,Russina Circles,Metal Church,Revamp,Revocation,Leprous,The Poodless,Sodom,Mudhoney,Peter Dolving,Joel Grind,Vision of Disorder,Tone Sour,Grave,Sensacion Térmica,Nile,,,Unisonic,Les Discrets 5,,,,,,,,,,,,,Sorgsen: Human Behaviour8,,,,,,,,,Mago de Oz: Gaia III: Atlantia7,,,,,,Master of reality,O.S.I.,Judas Priest,Nightrage,Devin Townsend,Revolution Renaisance,Therapy?,The Faceless,Enslaved,Metal Church,Jorn,Rage,Primal Fear,Chris Cornell,Regurgitate,Anaal Nathrakh,Anata,Bruthal 6,Sepultura,,,,Karl Sanders,Caliban,All that remains,,Especies,Kamikaze,Staind,Teh Kovenant,,Annihilator,
,,November`s doom,Nazareth,Marty Friedman,Sevendust,Magnum,Grand Magus,Skeletonwitch,The Answer,Ulver,Valient Thor,Misery Signals,The Resistance,My dying bride,Shining,Six feet Under,Jorn,,The Amity Affliction,,Tankard,Sabaton,,,Accept,Terrorizer 6,,,,,,,,,,,,,Mago de Oz: Gaia: epilogo6,,,,,,,,,Triptykon: Eparistera Daimones8,,,,,,OM,Roswell Six,Pelican,Old man´s child,Seventh Void,Static X,God Forbid,Cannibal Corpse,Satyricon ,Posinblack,Mudhoney,Ayreon,Nile,Bad Religion,Melechesh,Isis,Grave,Voivod,Rage,,,,Strapping Young LAd,All else failed,Goatsnake,,Fallen,Antimater,Lagwagon,Gluecifer,,Melvins,
,,Linkin Park,The Quireboys,Epica,Sinbreed,Lacuna Coil,Horcas,Scar the Martyr,Peral jam,James Labrie,Newsted,Oliva,Tribulation,W.E.T.,Volbeat,Sister Sin,Portal,,Threshold,,The Faceless,Agalloch,,,Mark Lanegan Band,Morbid Angel 3,,,,,,,,,,,,,The Burning: Hail the horde6,,,,,,,,,Michael Schenker: Instrumental Intensity6,,,,,,Orthodox,Skinlab,Nachtmystium,Rancid,The Burnng,Tardy Brothers,Tren Loco,Sun O))),Tom Morello,The Haunted,Destrucción Extrema,Poseidótica,Jeriko,Antigama,Fu Manchu,Converge,Lamb of God,Strapping young lad,Primal Fear,,,,Mano a mano,Enthroned,The get up kids,,The End,Killing Joke,Nasum,Cradle of Filth,,Jason,
,,Orighen,Vader,Misery Index,Steel Panther,Massacre,Nightwish,Sahg,In Solitude,Watain,Clay,Queensryche,The Winery Dogs,Morbid Suffering,Suicidal Tendencies,Stratovarius,Steven Wilson,,Wintersun,,Ufomammut,Pelican,,,Running Wild,Osbcura 7,,,,,,,,,,,,,The damned things: Ironclast8,,,,,,,,,Jeff Beck: Emotion and Commotion8,,,,,,Sonata Arctica,The 69 eyes,Chickenfoot,Skyclad,The devils wears prada,The Prodigy,Vision Divine,Acend,Trivium,Toxic Holocaust,Skiltron,Satan Dealers,Iced Earth,Novembres Doom,Blut aus Nord,Sun O))),Ritual,Peeping Tom,Bongzilla,,,,Bruce Dickinson,Queens of the stone age,Orgy,,Queensryche,Prong,Cruel Adicción,Escualo,,Corazones Muertos,
,,Origin,Tankard,Sabaton,Velocidad 22,Nocturnall,Prumal Fear,Stryper,Sarke,,Pork,Palms,Vulcanor,Inhumation,Sevendust,Saxon,Tempestor,,,,Steve Vai,Deathspell Omega,,,Pilgrim,Pallbearer 9,,,,,,,,,,,,,The Crown: Doomsay King7,,,,,,,,,Melissa Auf der Maur: Out of our minds8,,,,,,Porcupine Tree,Winds of plague,Novembers Doom,Killswitch Engage,The Haunted,Iron Maiden,Zoroaster,Earth,Six Feet Under,Iorio,Disturbed,The Mars Volta,Lorihen,Linkin Park,Crisandemia,Kylesa,Slayer,Enslaved,Ginger,,,,The hidden hand,NOFX,Kefren,,Fairyland,Moonspell,Supersuckers,Restos Fósiles,,The Crown,
,,Pallbearer,Ginger Wildheart,Sick Porky,Whitechapel,Richie Ramone,Random,Toxic Holocaust,Monster Magnet,,White Wizzard,Pretty maids,,Burden Rage,Skid Row,Thyrfing,Nucflash,,,,Spineshank,Six feet Under,,,Osi,Pharaoh 7,,,,,,,,,,,,,The Man-Eating Tree: Vine6,,,,,,,,,Ratt: Infestation6,,,,,,Kittie,Yob,Obituary,Suffocation,Wolf,The Gathering,Papa Roach,Pentemple,Buffalo,Rata Blanca,Melvins,Ill Niño,Korn,Korn,Kittie,Sparta,Body Count ,Ihsahn,Sadus,,,,Eighteen visions,Krisiun,Clutch,,Bilnd Guardian,Morbid Angel,Sum 41,El Reloj,,Superjoint Ritual,
,,Suicide Silence,Septicflesh,Timo Tolki`s Avalon,Wolfmother,Skull Fist,Michael Schenker´s Temple of Rock,The Gathering,The Defiled,,Witchgrave,Satan,,,Stryper,,Tomahawk,,,,Tourniquet,Serj Tankian,,,Ministry,UFO 8,,,,,,,,,,,,,Stratovarius: Elysium6,,,,,,,,,Unleashed: As Yggdrasil Trembles9,,,,,,Shadows Fall,The poodless,Pez,UFO,Sun O))),,,Khanate,Clutch,Taura,Massacre,Keith Caputo,Darkthrone,Marilyn Manson,Pez,Logos,Helmet,Zyklon,Scott Reeder,,,,Burn the Priest,Los violadores,Fu Manchu,,Hypocrisy,The Mars Volta,Benumb,Corpus Christi,,Joey Ramone,
,,Tesla,,Vallenfyre,Edguy,Transatlantic,Royal Hunt,Metal Church,The devil wears Prada,,Whiterscape,Trouble,,,Tridanna,,Walking papers,,,,Katatonia,Tank,,,Ufomammut,RAM 7,,,,,,,,,,,,,Therapy?:We are here to teh end8,,,,,,,,,,,,,,,The Unborn,,Rigor Mortis,Anaal Nathraak,Stratovarius,,,The gates of slumber,All that remains,,The Tormentos,Serj Tankian,King Diamond,The Stoogies,Arch Enemy,Seemless,Colour Haze,The Sword,Neubula,,,,Origin,Iommi,Dark Tranquility,,Metalium,Korn,Turbonegro,Otra Salida,,Nightwish,
,,The dagger,,Fu Manchu,Anette Olzon,Slogh Feg,Santuario,,,,,Orphaned,,,,,Metallica DVD,,,,Vision Divine,The Agonist,,,Anathema,Sigh 9,,,,,,,,,,,,,Kiske-Somerville:Kiske-Somerville6,,,,,,,,,,,,,,,The wildhearts,,Ronny Munroe,,,,,Wino,Unearth,,Atrocity,Jonathan Davis,Ulver,Dark Tranquility,Krisiun,Allamfuerte,Thralldom,Wolfmother,Devin Townsend,,,,Darkmoor,Jesu,Cult of Luna,,Pearl Jam,Apocalyptica,Buzzcocks,Asesino,,Nebula,
,,Uriah Heep,,Floor,Thomas Holopainen,Twilight,Ulver & Sunn o))),,,,,Scorpion Child,,,,,,,,,,Vintersorg,,,Wino & Conny Ochs,Soen 8,,,,,,,,,,,,,TNT: a farewall to arms7,,,,,,,,,,,,,,,U.D.O.,,Voivod,,,,,Whitechapel,,,The wildhearts,Boris,Pid Destroyer,Hellyeah,Cruzdiablo,Black Lable Society,,Misery Index,Ministry,,,,Dreamaker,To separate the flesh to the bones,Lamb of God,,Harley´s war,Secret Sphere,Therapy?,Sonata Arctica,,Alabama Thunderpussy,
,,Vintersorg,,,,Suicide Silence,Supersuckers,,,,,Skiltron,,,,,,,,,,Turbonegro,,,,,,,,,,,,,,,,,Virgin Steele: The black light bacchanalia6,,,,,,,,,,,,,,,,,Devil Driver,,,,,Zozobra,,,Logos,The Sword,Ministry,Devildriver,Incubus,My Chemical Romance,,Metal Church,Satyricon,,,,Turbonegro,Paradise Lost,Nasum,,Acheron,Rancid,Motosierra,Pissing Razors,,Rush,
,,,,,,,Within Temptation,,,,,Waco Jesus,,,,,,,,,,Melvins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cult of Luna,Lair of the Minotaur,Monster Magnet,Sonata Arctica,,Melvins,,DIO,The Gathering,,,,Bloobath,Darkthrone,Pig Destroyer,,Corazones Muertos,Iggy pop,Edenbridge,Napalm Death,,Theravenous,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIN,Iron Maiden DVD,Smashing Pumpkins,Megadeth,,Evanescence,,Carpathian Forest,Lacuna Coil,,,,My chemical romance,High on fire,Helmet,,Deicide,Piece of madness,Timmy O´Tool,Opeth,,Sentenced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motley Crue,,The Dillinger Escape Plan,Cephalic Carnage,,Trivium,,Jorn,Rhapsody,,,,Canldemass,Jello Biafra with The Melvins,YOB,,Atrocity,Twlightning,Ecliptic Sunset,The Gathering,,Tomahawk,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cacería,,,Killswitch Engage,,Pearl Jam,Dismember,,,,Light end of use,Crowbar,Social Distortion,,Primal Fear,Lorihen,NOFX,Rage ,,Weezer,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down,,,Audioslave,,Don Caballero,Otra Salida,,,,Marduk,Sparta,Boom boom kid,,Pennywise,Lullacry,Diego Mizrahi,Primal fear,,Danzig,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helloween,,,Skid Row,,Those endless eyes,Witchery,,,,Cephalic Carnage,Kamelot,Jason,,Heavenly,Mastifal,Bangaldesh,Kamelot,,Running Wild,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotten Sound,,Jesu,Backyard Babbies,,,,Lacrimosa,The Tormentos,Lord Divine,,Agoraphobic Nosebleed,Labyrinth,For My Pain,Foo Fighters,,Papa Roach,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gorgoroth,Buckcherry,,,,Snakeskin,Hablan por la espalda,Visions of atlantis,,Primus,Backyard babies,Tomahawk,Iced Earth,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twilight,Nasum,,,,Blood red throne,Tusk,Dream Theater,,Theater of Tragedy,Suidakra,Melissa,Zwan,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtic Frost,Mastodon,,,,Eternal Grave,Banthis,Montreal,,Necromancia,Jane´s adiction,The White Stripes,Flema,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sodom,Joe Satriani,,,,Rata Blanca,,Jeriko,,Dismember,Rage,Michael Monroe,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wathc them die,,,,Napalm Death,,Angra,,Rage against the machine,P.O.D.,Speultura,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Power,,,,Carpathian Forest,,Rammstein,,Edguy,Avernal,Los Violadores,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godsmack,,The Devin Townsend Band,Histeria,Gallery of mits,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carajo,,Kataklysm,Limp Bizkit,Green carnation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loquero,,Hortus Animae,Sauron,Die Toten Hosen,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mnemic,,Brides of Destruction,Barilari,Rage,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pez,,Elis,The Offspring,Nevermore,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dream Evil,,Tarantula Hawk,Agente Naranja,White Skull,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unearth,,,Charon,Topos ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haggard,,,Kiss,Tourniquet,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Today is the day,,,Ulver,Angra,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mala Medicina,,,Cave in,Antiproduct,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nail Pain,,,,,,,,
